City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Fortuna,US,2022-02-13 21:48:43,40.5982,-124.1573,73.42,100,100,11.5
68,Nikolskoye,RU,2022-02-13 21:48:44,59.7035,30.7861,34.88,89,100,12.71
69,Mataura,NZ,2022-02-13 21:43:52,-46.1927,168.8643,57.47,62,26,2.35
70,Yumen,CN,2022-02-13 21:48:45,40.2833,97.2,25.88,44,96,12.93
71,Paragominas,BR,2022-02-13 21:48:46,-2.9667,-47.4833,73.35,95,92,2.91
72,Tasiilaq,GL,2022-02-13 21:48:47,65.6145,-37.6368,19.56,82,100,12.93
73,Esperance,AU,2022-02-13 21:48:47,-33.8667,121.9,58.84,73,26,9.89
74,Chernushka,RU,2022-02-13 21:48:48,56.5072,56.0766,8.62,99,94,3.38
75,Cape Town,ZA,2022-02-13 21:44:09,-33.9258,18.4232,68.41,83,20,20.71
76,Lorengau,PG,2022-02-13 21:48:49,-2.0226,147.2712,81.57,78,100,2.89
77,Hithadhoo,MV,2022-02-13 21:48:49,-0.6,73.0833,82.22,72,83,11.03
78,Narsaq,GL,2022-02-13 21:48:50,60.9167,-46.05,28.62,89,100,5.44
79,Klyuchi,RU,2022-02-13 21:48:50,52.2667,79.1667,16.09,94,100,8.43
80,Atuona,PF,2022-02-13 21:48:51,-9.8,-139.0333,77.97,78,22,12.91
81,Rikitea,PF,2022-02-13 21:48:52,-23.1203,-134.9692,78.51,71,74,12.59
82,Saint-Philippe,RE,2022-02-13 21:48:53,-21.3585,55.7679,78.39,88,40,11.01
83,Gizo,SB,2022-02-13 21:48:54,-8.103,156.8419,82.26,75,80,4.88
84,Yafran,LY,2022-02-13 21:48:54,32.0633,12.5286,50.25,53,85,9.95
85,Dallas,US,2022-02-13 21:46:07,32.7668,-96.7836,67.48,21,20,9.22
86,Qaanaaq,GL,2022-02-13 21:48:56,77.484,-69.3632,-6.95,83,99,4.52
87,Jacksonville,US,2022-02-13 21:44:27,30.3322,-81.6556,70.09,53,20,12.66
88,Nouadhibou,MR,2022-02-13 21:48:57,20.931,-17.0347,67.98,73,100,14.97
89,Saint Anthony,US,2022-02-13 21:48:57,45.0205,-93.218,9.66,54,40,6.91
90,Provideniya,RU,2022-02-13 21:48:58,64.3833,-173.3,-5.69,65,0,6.71
91,Uglovskoye,RU,2022-02-13 21:49:58,51.3557,80.1942,22.91,92,100,14.56
92,Sapozhok,RU,2022-02-13 21:49:59,53.9419,40.6806,17.1,93,83,8.72
93,Yulara,AU,2022-02-13 21:50:00,-25.2406,130.9889,62.44,48,1,6.91
94,Aklavik,CA,2022-02-13 21:50:00,68.2191,-135.0107,-22.97,96,100,6.35
95,Puerto Lempira,HN,2022-02-13 21:50:01,15.2667,-83.7667,80.74,78,75,9.22
96,Mutis,CO,2022-02-13 21:50:02,6.2262,-77.4044,79.11,87,98,3.47
97,Portland,US,2022-02-13 21:49:14,45.5234,-122.6762,65.62,43,20,8.05
98,Isangel,VU,2022-02-13 21:50:04,-19.55,169.2667,84.31,84,40,2.3
99,Petropavlovsk-Kamchatskiy,RU,2022-02-13 21:50:04,53.0452,158.6483,16.39,57,75,8.95
100,Chokurdakh,RU,2022-02-13 21:50:05,70.6333,147.9167,-6.77,93,100,9.31
101,Svetlogorsk,BY,2022-02-13 21:50:06,52.6333,29.7333,27.82,83,34,10.78
102,Moose Factory,CA,2022-02-13 21:50:07,51.2585,-80.6094,3.2,46,0,3.44
103,La Ronge,CA,2022-02-13 21:50:07,55.1001,-105.2842,10.65,61,0,12.66
104,Huaraz,PE,2022-02-13 21:50:08,-9.5333,-77.5333,54.37,88,99,7.07
105,Katobu,ID,2022-02-13 21:50:09,-4.9408,122.5276,73.62,94,65,3.94
106,Raduzhnyy,RU,2022-02-13 21:50:09,62.0961,77.475,-4.72,98,85,8.55
107,Banff,CA,2022-02-13 21:48:08,51.1762,-115.5698,42.03,48,99,6.91
108,Luderitz,NA,2022-02-13 21:45:11,-26.6481,15.1594,72.81,65,0,10.83
109,Lompoc,US,2022-02-13 21:50:10,34.6391,-120.4579,84.34,32,0,11.5
110,Ostrovnoy,RU,2022-02-13 21:45:58,68.0531,39.5131,18.73,65,100,21.88
111,Zhezkazgan,KZ,2022-02-13 21:50:12,47.8043,67.7144,29.91,98,100,15.17
112,Port Macquarie,AU,2022-02-13 21:46:53,-31.4333,152.9167,67.89,69,63,2.77
113,Severo-Kurilsk,RU,2022-02-13 21:50:13,50.6789,156.125,23.16,68,26,11.92
114,Hobart,AU,2022-02-13 21:50:14,-42.8794,147.3294,62.46,77,100,12.66
115,Chuy,UY,2022-02-13 21:50:15,-33.6971,-53.4616,66.72,50,1,10.09
116,Piacabucu,BR,2022-02-13 21:50:15,-10.4056,-36.4344,81.21,75,86,14.58
117,Ixtapa,MX,2022-02-13 21:50:16,20.7,-105.2,76.23,65,75,10.36
118,Alice Springs,AU,2022-02-13 21:50:17,-23.7,133.8833,63.95,68,0,5.75
119,Bredasdorp,ZA,2022-02-13 21:50:18,-34.5322,20.0403,67.32,73,96,12.66
120,Gamba,GA,2022-02-13 21:45:44,-2.65,10.0,77.25,87,98,2.3
121,Airai,TL,2022-02-13 21:46:13,-8.9266,125.4092,58.37,90,37,2.3
122,Manokwari,ID,2022-02-13 21:50:20,-0.8667,134.0833,77.9,76,100,4.94
123,Saldanha,ZA,2022-02-13 21:50:21,-33.0117,17.9442,68.05,91,0,20.56
124,Varena,LT,2022-02-13 21:50:21,54.2167,24.5667,29.05,70,84,9.1
125,Mogadouro,PT,2022-02-13 21:50:22,41.3403,-6.7119,44.78,91,71,10.36
126,Sitka,US,2022-02-13 21:50:23,57.0531,-135.33,42.69,75,100,4.61
127,Tuatapere,NZ,2022-02-13 21:50:24,-46.1333,167.6833,58.82,56,33,2.13
128,Athabasca,CA,2022-02-13 21:50:25,54.7169,-113.2854,28.09,72,83,7.52
129,Hede,CN,2022-02-13 21:50:26,33.7681,120.2517,35.4,78,7,4.41
130,Dudinka,RU,2022-02-13 21:50:27,69.4058,86.1778,-15.27,89,12,6.91
131,Cherskiy,RU,2022-02-13 21:50:27,68.75,161.3,-23.26,97,98,7.85
132,Hasaki,JP,2022-02-13 21:46:58,35.7333,140.8333,36.0,81,100,31.65
133,Asahikawa,JP,2022-02-13 21:50:28,43.7678,142.3703,13.28,95,100,1.97
134,Tarija,BO,2022-02-13 21:50:29,-21.5355,-64.7296,71.51,60,75,5.75
135,Kalmunai,LK,2022-02-13 21:49:31,7.4167,81.8167,76.06,83,99,7.96
136,Potsdam,DE,2022-02-13 21:51:30,52.3989,13.0657,44.1,86,84,3.0
137,Seredka,RU,2022-02-13 21:51:31,58.1584,28.1858,33.55,77,100,11.63
138,Anuradhapura,LK,2022-02-13 21:51:32,8.3565,80.4173,71.01,94,94,4.63
139,Tautira,PF,2022-02-13 21:51:33,-17.7333,-149.15,87.82,76,82,16.55
140,Vaini,TO,2022-02-13 21:51:34,-21.2,-175.2,84.36,79,40,11.5
141,Balikpapan,ID,2022-02-13 21:51:35,-1.2675,116.8289,76.19,94,40,3.44
142,Shache,CN,2022-02-13 21:48:23,38.4167,77.2406,33.71,49,7,4.83
143,Iqaluit,CA,2022-02-13 21:51:36,63.7506,-68.5145,-16.31,75,100,3.44
144,Georgetown,MY,2022-02-13 21:51:37,5.4112,100.3354,79.9,90,40,6.91
145,Pisco,PE,2022-02-13 21:51:37,-13.7,-76.2167,77.05,61,0,17.27
