City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
577,Springbok,ZA,-29.6643,17.8865,73.62,47,1,2.8,clear sky
578,Ambon,ID,-3.6954,128.1814,82.54,78,40,3.44,scattered clouds
579,Samarai,PG,-10.6167,150.6667,82.99,69,50,6.93,scattered clouds
580,Moa,CU,20.6569,-74.9403,75.34,80,0,3.4,clear sky
581,Nuqui,CO,5.7125,-77.2708,77.49,90,95,6.64,light rain
582,Srednekolymsk,RU,67.45,153.6833,-24.38,95,19,5.93,few clouds
583,Moba,CN,33.2288,105.0179,30.58,85,100,3.56,overcast clouds
584,Marrakesh,MA,31.6315,-8.0083,53.67,50,0,2.3,clear sky
585,Saint Pete Beach,US,27.7253,-82.7412,60.01,73,0,5.99,clear sky
586,Dolores,AR,-36.3132,-57.6792,57.83,63,6,4.56,light rain
587,Finnsnes,NO,69.2296,17.9811,24.76,99,71,4.32,broken clouds
588,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,75,14.97,broken clouds
589,Yichang,CN,30.7144,111.2847,43.74,80,0,1.45,clear sky
590,Megion,RU,61.0296,76.1136,-3.98,96,100,10.29,overcast clouds
591,Hirara,JP,24.8,125.2833,65.14,83,100,27.22,overcast clouds
592,Balykshi,KZ,47.0667,51.8667,26.6,93,40,13.42,mist
593,Luanda,AO,-8.8368,13.2343,76.98,86,97,2.57,overcast clouds
594,Rock Sound,BS,24.9,-76.2,76.53,82,73,12.95,broken clouds
595,Kihei,US,20.785,-156.4656,80.62,63,20,14.97,few clouds
596,Shakawe,BW,-18.3667,21.85,67.14,87,75,2.08,broken clouds
597,Concordia,AR,-31.393,-58.0209,66.78,62,0,5.99,clear sky
598,Awbari,LY,26.5921,12.7805,51.69,29,0,10.16,clear sky
599,Tessalit,ML,20.1986,1.0114,61.14,22,23,11.41,few clouds
600,Orda,RU,57.1951,56.9091,0.14,100,100,3.24,overcast clouds
601,Paraiso,CR,9.8383,-83.8656,67.06,96,93,5.55,overcast clouds
602,Curaca,BR,-8.9903,-39.9094,76.96,69,100,5.39,overcast clouds
603,Muli,MV,2.9167,73.5667,81.41,76,65,11.01,broken clouds
604,Miraflores,MX,19.2167,-98.8083,64.81,60,100,3.71,overcast clouds
605,Nelson,NZ,-41.2833,173.2833,67.28,83,58,1.99,broken clouds
606,Tateyama,JP,34.9833,139.8667,46.02,72,99,23.53,overcast clouds
607,Acapulco,MX,16.8634,-99.8901,80.42,74,75,5.75,broken clouds
608,Sidi Ali,DZ,36.0998,0.4206,48.07,81,1,5.21,clear sky
609,Dudinka,RU,69.4058,86.1778,-16.56,90,15,6.69,few clouds
610,Kedrovyy,RU,56.1667,91.8167,-21.14,98,19,4.38,few clouds
611,Saiha,IN,22.4833,92.9667,51.08,55,5,3.98,clear sky
612,Oga,IT,46.4631,10.347,20.7,92,37,4.27,scattered clouds
613,Shubarshi,KZ,48.5872,57.1869,14.95,94,100,13.67,light snow
614,Grand-Santi,GF,4.25,-54.3833,72.25,99,34,2.53,scattered clouds
