City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Guacimo,CR,81.18,scattered clouds,10.2104,-83.6807,Hotel Los Ríos
548,Manggar,ID,83.86,broken clouds,-2.8833,108.2667,Guest Hotel
551,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
563,Flinders,AU,84.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
570,Yeppoon,AU,83.98,light rain,-23.1333,150.7333,Villa Mar Colina
572,Kailua,US,77.02,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
573,Abonnema,NG,78.94,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
586,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
590,Isangel,VU,85.42,broken clouds,-19.55,169.2667,Tanna Lodge
595,Samarai,PG,83.32,broken clouds,-10.6167,150.6667,Nuli Sapi
599,Sabang,ID,82.47,broken clouds,5.8933,95.3214,Hotel Citra
603,Pyapon,MM,79.2,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
606,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
609,Kulhudhuffushi,MV,80.85,broken clouds,6.6221,73.07,Haajy Guest House 1
611,Mareeba,AU,83.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
618,Lahaina,US,77.0,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
631,Ambunti,PG,75.87,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
633,Beaufort,MY,86.16,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
636,Auki,SB,77.76,heavy intensity rain,-8.7676,160.7034,Auki Motel
640,Bonthe,SL,76.73,light rain,7.5264,-12.505,Bonthe Holiday Village
642,Kuah,MY,89.58,few clouds,6.3265,99.8432,Azio Hotel
650,Lloro,CO,76.95,overcast clouds,5.4961,-76.5495,aidemi
